id,label
BIBC 140,BIBC 140. Our Energy Future—Sustainable Energy Solutions (4)
BIBC 151,BIBC 151. Chemistry of Biological Interactions (4)
BIBC 194,BIBC 194. Advanced Topics in Modern Biology: Biochemistry (2)
BICD 100,BICD 100. Genetics (4)
BICD 101,BICD 101. Eukaryotic Genetics Laboratory (4)
BICD 102,BICD 102. Genetic Inquiry (4)
BICD 104,BICD 104. Genetic Neurobiology (4)
BICD 110,BICD 110. Cell Biology (4)
BICD 112,BICD 112. Stem Cells and Regeneration (4)
BICD 120,BICD 120. Molecular Basis of Plant Development (4)
BICD 123,BICD 123. Plant Molecular Genetics and Biotechnology Laboratory (4)
BICD 124,BICD 124. Plant Innate Immunity (4)
BICD 130,"BICD 130. Embryos, Genes, and Development (4)"
BICD 136,BICD 136. AIDS Science and Society (4)
BICD 140,BICD 140. Immunology (4)
BICD 145,BICD 145. Laboratory in Molecular Medicine (4)
BICD 156,BICD 156. Population Genetics (4)
BICD 194,BICD 194. Advanced Topics in Modern Biology: Cellular Development (2)
BIEB 100,BIEB 100. Biostatistics (4)
BIEB 102,BIEB 102. Introductory Ecology-Organisms and Habitat (4)
BIEB 121,BIEB 121. Ecology Laboratory (4)
BIEB 123,BIEB 123. Molecular Methods in Evolution and Ecology Lab (4)
BIEB 126,BIEB 126. Plant Ecology (4)
BIEB 128,BIEB 128. Insect Diversity (4)
BIEB 130,BIEB 130. Marine Conservation Biology (4)
BIEB 131,BIEB 131. Marine Invertebrate Ecology Lab (4)
BIEB 134,BIEB 134. Introduction to Biological Oceanography (4)
BIEB 135,BIEB 135. Aquatic Ecology Lab (4)
BIEB 140,BIEB 140. Biodiversity (4)
BIEB 143,BIEB 143. Computer Modeling in Evolution and Ecology (4)
BIEB 146,BIEB 146. Genome Diversity and Dynamics (4)
BIEB 150,BIEB 150. Evolution (4)
BIEB 152,BIEB 152. Evolution of Infectious Diseases (4)
BIEB 154,BIEB 154. Evolutionary Inquiry (4)
BIEB 166,BIEB 166. Animal Behavior and Communication (4)
BIEB 167,BIEB 167. Animal Communication Lab (4)
BIEB 174,BIEB 174. Ecosystems and Global Change (4)
BIEB 176,BIEB 176. Biology of Conservation and the Human Predicament (4)
BIEB 182,BIEB 182. Biology of Global Change (4)
BIEB 194,"BIEB 194. Advanced Topics in Modern Biology: Ecology, Behavior, Evolution (2)"
BIMM 100,BIMM 100. Molecular Biology (4)
BIMM 101,BIMM 101. Recombinant DNA Techniques (4)
BIMM 110,BIMM 110. Molecular Basis of Human Disease (4)
BIMM 112,BIMM 112. Regulation of Eukaryotic Gene Expressions (4)
BIMM 114,BIMM 114. Virology (4)
BIMM 116,BIMM 116. Circadian Rhythms—Biological Clocks (4)
BIMM 116B,BIMM 116B. BioClock Studio (4)
BIMM 118,BIMM 118. Pharmacology (4)
BIMM 120,BIMM 120. Microbiology (4)
BIMM 121,BIMM 121. Microbiology Laboratory (4)
BIMM 122,BIMM 122. Microbial Genetics (4)
BIMM 124,BIMM 124. Medical Microbiology (4)
BIMM 130,BIMM 130. Microbial Physiology (4)
BIMM 134,BIMM 134. Biology of Cancer (4)
BIMM 140,BIMM 140. Quantitative Principles in Biology (4)
BIMM 143,BIMM 143. Bioinformatics Laboratory (4)
BIMM 149,BIMM 149. Computation for Biologists (4)
BIMM 162,BIMM 162. 3-D Cryo-Electron Microscopy of Macromolecules and Cells (4)
BIMM 170,BIMM 170. Genomics Research Initiative Laboratory II (4)
BIMM 172,BIMM 172. Genome Science (4)
BIMM 174,"BIMM 174. Genomics, Big Data, and Human Health (4)"
BIMM 181,BIMM 181. Molecular Sequence Analysis (4)
BIMM 182,BIMM 182. Biological Databases (4)
BIMM 184,BIMM 184. Computational Molecular Biology (4)
BIMM 185,BIMM 185. Bioinformatics Laboratory (Advanced) (4)
BIMM 194,BIMM 194. Advanced Topics in Modern Biology: Molecular Biology (2)
BIPN 100,BIPN 100. Human Physiology I (4)
